nombre;direccion;telefono;email;descripcion;;
Veterinaria Bio Vet;Santa Florencia 1800, Local E, La Florida, Metropolitana De Santiago, Chile;27106821;veterinaria@veterinariabiovet.cl;;;
Clínica Veterinaria El Rincón De La Mascota;Av. Balmaceda 710 Local 9, Talagante, Talagante, Metropolitana De Santiago, Chile;28155588;;Hospital clínico veterinario, Consultas, vacunas, tratamientos, cirugías, hospital 24hrs, Laboratorio y;;
Tienda De Mascotas Tucán;Avenida Condell 21, Quillota, Valparaiso, Chile;033-2510504;Mascoteriatucan@gmail.com;Accesorios de mascotas ;;
Clinica Veterinaria Pets Care;Av. Manuel Antonio Matta 991, Quilicura, Metropolitana De Santiago, Chile;26031407;vetpetscare@yahoo.cl;consulta veterinaria, atención de perros,gatos y exóticos, cirugías, exámenes de laboratorio,limpiezas dentales, alimentos, accesorios y mucho mas....;;
PET SITTER LOS ANGELES;Avda. Sor Vicenta   n° 2276, Biobío, Chile;935179185;leddaangelica@yahoo.es;Servicio a Domicilio. Cuidado de Mascotas en casa es una excelente alternativa para dejar a su regalón en su casa cuando se va de viaje o cuando no tiene tiempo. Las mascotas se sienten más seguras en la comodidad de su propia casa y están libres de estrés y exposición a enfermedades o lesiones que puede causar estar en un ambiente desconocido con muchos otros animales.;;
Clínica Veterinaria Arca Del Puerto;Vía Romana 1800, Puerto Montt, Los Lagos, Chile;65-435352;veterinariarcadelpuerto@hotmail.com;Clínica Veterinaria Arca del Puerto ofrece los siguientes servicios para el cuidado y salud de su mascota:;;
Joanakarl;Santiago Is A City In Región Metropolitana De Santiago n° 3914, Parral, Maule, Chile;9526664095;joanakimdel45@gmail.com;Absolutely stunning!!!! British Blue Shorthair  Ragdoll kittens ready reserve!!! to leave on to any loving pet family ,please for more enquiries contact ,jessicaacostareyesjar@gmail.com;;
Pet Shop Mym;Avenida Placer 948 Local 80 Persa Procome, Santiago, Metropolitana De Santiago, Chile;7-5251108;pet.shop.mym@hotmail.com;venta de conejos de diferentes razas , cuyes de diferentes razas , hamster de diferentes razas , alimentos, accesorios , jaulas y mucho mas...;;
Hotel Canino Perrihuéspedes;Lo Cruzat n° 0400, Quilicura, Metropolitana De Santiago, Chile;949944420;perrihuesped@gmail.com;Somos un Matrimonio Jóven amante de los Caninos y tenemos una Hijita de Raza Boxer de 2 años de edad ¡Ella es la mejor Anfitriona! Es muy amistosa y tierna. ;;
Adele Pet;Traslaviña  n° 1898, Pedro Aguirre Cerda, Metropolitana De Santiago, Chile;994341438;regitacna@gmail.com;Vendemos alimentos y accesorios para mascotas;;
Buba Peluqueria Canina;Rucatayu  n° 1233, Maipú, Metropolitana De Santiago, Chile;78648947;Bubapeluqueriacanina@gmail.com;Peluqueria canina;;
Tienda Pet Shop Las Condes;Malaga 950 local  Santiago, Las Condes, Metropolitana De Santiago, Chile;945895983;hemory1987ar@gmail.com;Venta de alimentos de primera calidad para todo tipo de animales;;
Covepa;Chorrillos 1349, Puerto Montt, Los Lagos, Chile;(65)270100;puertomontt@covepa.cl;;;
Clínica Veterinaria Cat Y Can;Cerro Huemul 326 Villa Pehuen II, Maipú, Metropolitana De Santiago, Chile;27041147;vetcatycan@gmail.com;7 años al servicio de su mascota. Consultas, ecografia, radiografias, laboratorio y mas. Peluqueria canina y Farmacia veterinaria.;;
